body_temp,respiratory_rate,ambient_temp,label
38.58,39.6,32.27,1
39.94,45.2,27.32,1
40.96,37.9,23.67,1
40.04,36.6,33.22,1
39.84,20.3,24.04,0
40.35,39.8,37.7,1
39.9,33.8,32.38,1
40.37,41.0,26.2,1
38.59,22.3,24.33,0
38.54,19.1,25.04,0
38.45,8.3,21.37,0
39.79,52.7,20.26,1
39.38,32.6,31.5,1
38.3,45.8,35.05,1
39.8,33.2,32.0,1
38.87,56.0,34.28,1
40.38,34.4,21.65,1
38.71,39.9,30.79,1
39.78,27.9,32.02,1
39.28,58.2,24.45,0
39.05,20.4,26.53,0
40.0,33.7,34.62,1
38.81,40.8,37.67,1
38.97,56.9,22.17,0
39.89,31.9,31.53,1
38.97,44.2,32.95,1
40.45,43.4,38.94,1
38.97,30.1,37.55,1
39.16,43.5,35.44,1
38.64,36.6,34.16,1
38.98,25.5,26.2,0
40.55,36.0,38.73,1
40.24,35.1,35.39,1
39.81,30.2,33.68,1
38.67,24.0,29.81,0
38.43,16.6,20.49,0
38.75,14.6,27.81,0
38.99,25.7,27.02,0
39.06,31.1,35.99,1
38.39,23.1,21.52,0
40.58,41.7,39.54,1
40.02,45.5,29.04,1
39.89,33.6,36.17,1
38.73,45.6,35.43,1
39.07,17.3,20.55,0
39.85,33.7,34.06,1
38.69,44.6,31.95,1
39.27,35.3,31.78,1
38.71,15.0,20.2,0
40.7,47.5,26.55,1
39.04,32.2,37.78,1
40.31,39.7,35.38,1
40.25,35.4,25.0,1
40.14,23.3,29.68,0
40.46,39.8,37.3,1
40.24,33.0,35.18,1
38.77,10.4,20.64,0
38.6,20.9,33.96,0
39.42,35.6,31.8,1
40.62,47.2,38.3,1
38.84,19.0,21.06,0
38.8,18.3,27.91,0
40.32,43.4,37.35,1
38.67,27.5,25.49,0
40.6,48.3,27.82,1
38.84,17.9,21.45,0
38.94,37.7,32.04,1
40.34,40.0,36.86,1
38.98,45.5,35.09,1
38.44,28.5,22.97,0
38.39,39.3,34.43,1
40.71,40.4,24.74,1
38.68,56.6,36.12,1
40.2,34.1,37.84,1
40.09,35.8,22.28,1
40.62,43.4,39.23,1
39.78,34.4,26.11,1
39.81,51.4,21.57,1
40.18,37.6,25.38,1
40.7,43.1,38.45,1
38.66,10.2,22.99,0
39.19,18.4,29.1,0
40.56,41.0,37.97,1
38.98,48.7,35.45,1
38.69,51.6,22.09,0
39.99,31.5,34.76,1
40.07,39.8,36.3,1
38.27,19.2,22.19,0
39.31,26.0,31.58,0
40.09,33.9,34.12,1
38.64,19.7,27.79,0
38.66,14.4,23.81,0
38.34,56.0,36.42,1
39.87,43.7,22.22,1
40.58,34.1,36.19,1
40.75,10.4,29.14,0
38.86,35.1,37.61,1
40.37,38.2,36.86,1
39.04,17.4,28.93,0
40.43,36.2,28.67,1
38.4,52.2,26.48,0
40.13,33.9,32.91,1
38.36,18.4,29.78,0
40.74,23.2,26.12,0
38.91,40.0,34.5,1
40.37,42.8,36.45,1
40.36,34.3,36.59,1
38.7,13.3,24.63,0
39.06,37.5,34.34,1
38.59,34.6,37.43,1
38.87,23.1,29.82,0
38.97,13.9,36.02,0
38.71,18.3,20.23,0
38.43,55.9,30.77,1
40.95,41.9,39.7,1
39.91,39.2,34.65,1
40.03,37.1,35.78,1
38.68,54.1,36.6,1
39.6,27.3,27.78,0
40.28,40.1,35.79,1
41.21,39.7,37.22,1
38.57,15.0,22.75,0
39.88,31.0,30.71,1
40.32,39.3,23.95,1
40.25,34.3,35.3,1
39.9,32.2,34.28,1
38.76,11.7,21.06,0
38.73,16.9,29.62,0
40.81,40.8,39.23,1
40.69,40.4,39.32,1
38.56,16.5,23.27,0
38.37,20.4,27.52,0
40.75,44.3,39.74,1
38.49,57.5,35.79,1
38.39,41.5,37.22,1
38.42,13.5,31.87,0
38.88,54.5,23.67,0
38.26,28.7,23.22,0
38.97,46.6,35.94,1
38.92,12.0,22.81,0
38.87,46.0,33.68,1
38.7,15.3,25.84,0
40.04,29.4,31.95,1
38.71,14.2,28.42,0
39.78,33.7,33.31,1
40.24,48.6,27.35,1
40.33,39.4,35.25,1
40.63,53.9,26.29,1
38.7,57.3,34.07,1
39.84,39.4,37.52,1
38.32,54.7,22.78,0
39.34,13.2,37.44,0
38.62,16.9,29.15,0
38.43,28.1,28.29,0
38.41,13.6,25.31,0
40.02,38.7,34.89,1
40.46,41.8,38.87,1
38.79,55.5,34.57,1
40.63,45.1,23.89,1
38.48,58.4,24.6,0
39.96,13.3,23.39,0
38.51,57.1,34.85,1
38.81,25.7,24.74,0
40.09,54.8,23.57,1
40.64,42.7,38.61,1
38.75,29.4,34.48,1
38.77,34.3,33.38,1
38.53,27.1,24.66,0
39.11,24.5,28.46,0
39.79,18.5,27.38,0
39.59,28.4,30.67,1
40.32,39.6,36.76,1
38.38,31.6,37.43,1
40.31,39.4,38.63,1
38.49,13.3,20.07,0
38.9,47.8,37.44,1
40.4,45.1,39.62,1
38.78,22.9,22.34,0
40.35,37.0,35.82,1
39.23,57.3,37.36,1
38.46,18.5,27.45,0
39.93,32.6,34.96,1
38.76,49.3,34.79,1
39.2,26.1,28.9,0
39.01,26.2,27.0,0
38.49,38.1,31.57,1
38.7,19.0,23.2,0
40.63,26.4,27.74,0
38.75,14.0,26.59,0
39.47,29.0,31.31,1
39.89,30.8,32.2,1
38.43,14.0,27.87,0
39.83,33.2,32.27,1
39.16,21.3,23.01,0
38.44,10.9,26.49,0
38.77,13.7,24.67,0
40.58,42.8,38.46,1
39.85,29.9,33.83,1
38.53,15.3,27.15,0
40.12,30.9,33.82,1
39.1,26.7,21.21,0
38.34,21.5,21.51,0
38.49,33.1,33.41,1
38.94,44.5,34.81,1
38.49,15.9,26.53,0
40.88,45.5,23.8,1
39.22,12.2,31.53,0
39.83,30.2,31.29,1
38.87,30.0,22.54,0
38.74,41.8,31.79,1
39.06,16.0,22.42,0
38.91,18.4,35.19,0
40.02,36.1,27.92,1
39.02,52.3,31.86,1
38.53,15.3,28.32,0
39.97,16.6,26.46,0
39.9,33.2,34.62,1
39.33,12.2,28.86,0
40.72,44.3,39.13,1
38.73,25.2,24.65,0
38.68,52.6,32.18,1
38.61,14.3,28.75,0
38.34,12.7,20.04,0
38.8,14.5,22.81,0
38.32,12.4,23.67,0
38.69,39.1,30.77,1
40.57,19.0,20.34,0
40.28,39.3,36.41,1
38.38,23.0,27.74,0
38.87,22.3,24.59,0
38.4,14.0,28.17,0
40.48,42.5,39.64,1
39.91,34.6,33.39,1
39.96,37.1,34.1,1
39.02,23.1,29.1,0
40.15,36.6,37.2,1
40.15,39.5,37.55,1
40.55,37.2,37.27,1
38.82,27.6,34.88,0
40.33,38.4,34.57,1
40.27,42.5,38.08,1
39.0,37.5,35.62,1
39.03,20.7,20.52,0
38.8,26.6,25.16,0
40.51,45.6,39.92,1
39.16,21.4,25.91,0
40.38,36.5,37.17,1
40.76,51.4,22.67,1
38.74,10.7,20.67,0
40.08,35.5,20.1,1
38.55,16.1,21.44,0
38.57,45.3,37.95,1
40.22,42.6,20.16,1
39.88,29.6,33.72,1
38.99,13.8,29.19,0
39.01,10.2,24.59,0
38.71,50.2,31.72,1
38.54,24.2,20.18,0
40.32,33.6,33.91,1
40.78,36.6,39.64,1
39.89,32.8,33.78,1
39.74,42.4,21.98,1
38.87,22.6,21.42,0
40.23,35.2,34.77,1
38.76,59.2,30.83,1
38.98,22.8,36.2,0
40.7,44.2,39.68,1
40.41,35.4,36.26,1
38.81,21.4,24.19,0
38.37,10.7,22.91,0
40.66,41.7,38.12,1
39.08,29.1,23.42,0
39.82,47.1,23.18,1
40.11,36.5,32.51,1
40.29,35.8,34.95,1
38.18,56.3,37.7,1
39.17,22.8,27.47,0
38.77,16.8,26.44,0
38.55,44.8,25.72,0
39.05,25.3,23.28,0
38.42,20.9,29.21,0
38.98,50.1,24.04,0
38.93,15.1,26.98,0
38.94,15.8,26.45,0
38.68,59.5,35.22,1
39.17,39.5,30.56,1
38.96,46.3,37.41,1
40.13,26.6,33.69,1
38.93,30.3,36.39,1
39.37,17.9,34.73,0
39.94,32.2,32.92,1
39.97,33.0,34.54,1
38.83,30.1,37.75,1
38.91,16.6,22.19,0
40.74,43.2,38.91,1
38.57,23.5,25.09,0
39.18,11.8,20.4,0
39.17,13.7,20.18,0
39.37,27.7,21.65,0
39.8,23.5,30.6,1
39.05,35.9,36.66,1
38.76,22.3,26.22,0
38.37,13.5,26.23,0
39.86,29.7,34.16,1
38.32,20.3,29.33,0
40.15,39.7,36.85,1
39.88,32.6,35.83,1
38.46,19.4,26.66,0
38.82,8.8,20.51,0
38.27,27.8,25.36,0
38.97,38.2,34.05,1
40.29,40.5,37.08,1
39.67,25.7,30.89,1
40.91,41.3,37.24,1
38.27,9.4,25.55,0
38.81,29.9,32.78,1
40.22,38.1,35.96,1
38.21,12.3,26.52,0
38.58,12.6,21.71,0
39.89,35.7,34.58,1
40.34,33.3,37.03,1
39.6,36.0,31.12,1
40.82,41.0,38.92,1
40.72,37.4,37.52,1
38.94,33.2,33.3,1
40.15,37.6,35.85,1
40.36,31.6,34.5,1
38.51,20.0,24.37,0
40.55,39.4,27.78,1
38.42,15.2,28.05,0
38.96,16.1,20.23,0
39.61,38.5,26.12,1
39.21,14.4,23.16,0
39.73,28.6,31.9,1
40.11,36.2,36.14,1
39.94,32.7,31.95,1
39.86,29.7,31.61,1
39.68,28.6,30.75,1
38.64,26.5,20.83,0
40.66,49.3,27.23,1
39.76,42.3,23.23,1
39.02,17.0,21.4,0
38.69,10.0,22.85,0
38.68,41.3,33.29,1
40.09,42.3,32.89,1
40.24,40.3,24.74,1
39.01,10.9,27.65,0
38.71,60.0,33.18,1
40.73,44.7,39.96,1
39.95,35.5,33.48,1
39.03,35.4,36.74,1
39.29,21.3,24.73,0
39.99,36.0,29.29,1
40.63,39.3,26.2,1
38.57,35.7,20.42,0
40.04,35.1,34.81,1
39.38,12.6,30.52,0
38.93,49.7,33.09,1
38.71,16.4,26.19,0
39.64,30.9,30.51,1
38.35,39.5,33.28,1
39.84,28.9,30.82,1
38.83,19.1,22.08,0
39.85,43.9,34.51,1
39.0,9.0,28.67,0
39.16,57.9,27.93,0
38.78,26.0,21.05,0
38.85,24.3,29.92,0
40.31,40.0,37.38,1
38.69,45.5,35.42,1
40.99,36.6,25.8,1
39.66,35.4,30.91,1
39.01,50.3,22.19,0
38.73,18.6,28.51,0
39.82,31.5,32.69,1
39.88,28.5,33.05,1
39.76,44.8,27.58,1
39.79,31.6,34.7,1
38.91,13.3,24.92,0
39.05,54.0,20.81,0
39.14,10.0,26.42,0
38.37,16.3,23.22,0
38.86,12.8,24.03,0
39.08,19.5,20.11,0
40.16,47.7,21.08,1
40.64,50.9,25.0,1
40.09,40.4,37.15,1
39.25,37.7,35.47,1
38.42,22.9,22.41,0
38.85,11.0,25.15,0
38.4,43.3,35.61,1
38.84,59.8,21.95,0
38.55,12.5,26.56,0
39.7,38.6,33.62,1
39.96,30.7,31.55,1
38.48,12.8,22.66,0
40.5,36.8,36.45,1
38.86,49.9,31.41,1
39.88,54.0,24.0,1
38.36,56.3,34.96,1
38.96,19.8,29.36,0
40.23,31.5,21.08,1
39.04,29.5,34.14,1
40.17,47.8,29.92,1
38.8,18.9,21.5,0
38.69,43.1,36.09,1
39.21,12.7,21.54,0
40.76,46.0,39.78,1
40.58,35.4,36.83,1
38.54,11.3,21.4,0
38.68,26.7,22.94,0
38.83,26.4,23.34,0
38.91,50.9,31.82,1
40.43,54.8,20.98,1
38.98,20.8,23.85,0
39.32,43.5,29.33,0
40.73,39.6,39.26,1
40.59,46.2,38.29,1
38.7,56.2,38.0,1
40.16,41.0,37.36,1
38.96,52.3,31.85,1
38.51,27.0,20.42,0
40.75,40.8,28.35,1
39.39,36.0,20.02,0
40.76,39.1,39.02,1
40.66,36.9,37.49,1
38.57,20.7,28.01,0
39.82,34.0,32.95,1
38.41,25.6,35.31,0
38.46,25.1,28.8,0
38.96,48.9,31.77,1
38.56,32.1,35.82,1
40.47,40.7,38.7,1
38.78,13.3,29.51,0
38.47,15.5,27.45,0
38.59,23.0,27.5,0
38.37,12.2,21.44,0
38.47,14.5,23.02,0
40.29,24.2,27.08,0
39.33,15.9,30.71,0
38.52,23.0,20.99,0
38.41,41.3,37.9,1
38.42,45.1,35.92,1
38.92,26.0,26.35,0
39.9,37.2,35.42,1
40.78,41.7,38.54,1
38.43,17.2,21.93,0
39.11,57.5,31.77,1
39.59,32.4,31.91,1
38.37,14.1,21.23,0
38.78,44.9,33.16,1
38.93,28.8,26.53,0
38.86,14.9,27.61,0
38.91,11.8,26.3,0
38.67,24.2,21.02,0
38.79,14.0,21.16,0
39.89,10.6,27.35,0
40.97,37.9,20.07,1
38.44,10.3,31.22,0
40.0,34.7,34.12,1
38.58,48.5,34.38,1
39.89,26.9,30.76,1
41.0,43.0,40.0,1
38.28,47.3,33.05,1
38.31,29.7,26.32,0
39.05,25.7,21.53,0
38.51,16.9,20.42,0
40.4,35.6,35.16,1
38.51,19.5,27.74,0
38.34,22.6,26.83,0
39.02,15.9,23.62,0
39.72,15.9,21.93,0
39.03,33.8,35.48,1
39.21,58.5,33.63,1
40.65,51.7,20.53,1
40.18,16.6,21.78,0
38.63,14.3,26.02,0
39.38,24.7,30.78,0
39.68,33.1,32.32,1
39.15,39.9,30.61,1
39.72,36.1,20.41,1
38.86,25.5,26.63,0
39.68,27.8,31.83,1
40.03,36.7,34.71,1
39.03,13.8,27.69,0
40.35,38.4,23.83,1
40.39,45.8,24.12,1
40.45,40.5,38.04,1
39.83,35.4,31.75,1
38.86,43.7,36.02,1
39.52,31.2,31.9,1
38.47,25.9,26.64,0
38.67,17.8,21.05,0
38.86,24.5,29.03,0
40.83,41.3,39.69,1
38.97,26.3,24.19,0
39.92,30.1,32.35,1
40.27,38.8,35.79,1
40.0,35.9,34.24,1
40.41,36.4,36.26,1
39.04,29.0,28.53,0
38.55,31.5,34.37,1
39.35,34.0,36.08,1
39.45,29.3,31.14,1
39.04,50.8,31.46,1
39.75,53.3,26.55,1
40.06,38.9,22.57,1
38.66,45.8,37.57,1
38.95,57.0,36.87,1
39.15,21.3,23.48,0
40.44,42.9,38.29,1
40.5,40.0,37.46,1
39.01,40.9,30.56,1
39.69,30.0,33.38,1
38.84,16.7,26.5,0
38.46,23.1,25.32,0
38.6,26.1,27.38,0
40.42,38.3,37.34,1
39.36,14.7,28.54,0
38.53,23.2,29.92,0
40.85,42.6,21.29,1
38.83,25.2,25.13,0
38.66,30.5,21.4,0
38.95,26.8,28.75,0
40.47,41.8,37.06,1
40.35,31.1,35.02,1
39.03,15.5,22.66,0
40.12,44.6,24.63,1
38.74,12.1,20.51,0
39.24,15.3,21.09,0
40.24,33.5,24.92,1
38.88,52.9,34.02,1
39.97,30.1,30.53,1
40.05,37.8,31.63,1
39.06,35.1,34.39,1
38.76,26.2,28.78,0
38.8,10.3,20.01,0
38.82,17.4,27.83,0
38.73,55.7,33.87,1
39.23,48.5,37.23,1
38.64,37.6,35.38,1
39.12,54.6,27.2,0
39.18,19.8,22.28,0
38.89,19.0,26.95,0
39.22,27.0,25.08,0
39.98,46.4,22.61,1
39.15,45.8,32.31,1
39.88,33.7,34.51,1
40.81,13.1,27.44,0
40.53,13.3,21.79,0
40.48,17.7,29.31,0
38.45,36.6,32.62,1
40.51,41.8,35.71,1
38.59,56.6,33.47,1
39.2,31.8,28.16,0
39.36,8.0,21.11,0
40.91,33.7,37.77,1
39.21,20.4,21.68,0
39.76,37.3,31.31,1
40.7,16.1,24.11,0
40.5,33.4,36.82,1
39.81,33.0,32.97,1
38.57,12.6,20.45,0
39.12,57.3,37.16,1
40.69,26.2,27.22,0
38.61,14.2,25.54,0
40.34,34.9,24.15,1
40.87,40.9,26.35,1
40.71,41.3,38.96,1
39.72,25.6,31.56,1
38.61,18.6,20.17,0
39.04,23.8,21.63,0
39.11,33.6,35.39,1
38.87,44.9,36.84,1
39.65,33.3,32.5,1
38.38,57.4,30.92,1
40.0,36.0,36.35,1
39.2,29.2,21.94,0
40.8,42.8,38.56,1
38.41,49.1,35.99,1
40.37,39.7,35.96,1
38.27,24.1,23.25,0
39.18,16.1,22.03,0
40.54,40.3,39.61,1
38.33,27.5,23.66,0
40.31,29.2,37.71,1
40.99,39.1,24.41,1
39.64,25.9,33.85,1
40.29,39.8,38.06,1
38.57,10.1,29.46,0
38.44,23.9,25.42,0
40.52,50.8,23.94,1
38.31,15.1,29.9,0
38.88,18.8,25.2,0
40.55,43.5,24.83,1
39.02,58.0,26.57,0
38.27,50.4,36.14,1
38.96,48.5,31.3,1
39.55,30.5,31.06,1
39.84,38.1,31.08,1
38.98,18.9,28.92,0
40.02,34.9,36.93,1
38.54,44.7,35.27,1
38.48,16.5,29.93,0
39.51,28.7,30.64,1
40.0,34.4,34.45,1
38.68,55.9,30.62,1
39.0,30.5,30.67,1
39.96,36.2,34.77,1
38.23,51.1,32.63,1
40.57,40.3,36.45,1
40.11,35.7,33.55,1
38.85,23.1,29.36,0
40.23,35.2,36.21,1
38.89,47.1,34.56,1
38.39,10.1,22.02,0
40.19,39.7,34.72,1
38.88,14.5,29.28,0
38.38,20.2,30.85,0
40.34,34.6,36.66,1
38.84,11.8,21.38,0
38.6,52.9,30.5,1
39.02,20.4,24.12,0
39.57,32.0,32.31,1
38.86,35.9,36.41,1
38.61,17.8,23.33,0
39.23,35.6,32.42,1
39.69,44.1,25.64,1
39.92,33.0,31.74,1
40.73,20.1,26.88,0
39.98,31.8,32.0,1
40.15,37.2,35.45,1
38.91,11.9,28.49,0
39.69,24.8,30.55,1
38.42,18.5,21.48,0
38.64,18.6,22.44,0
38.48,42.3,37.08,1
40.29,35.0,36.42,1
40.2,40.9,35.85,1
39.06,25.3,30.51,0
39.06,54.0,31.91,1
39.79,34.7,34.32,1
38.82,15.7,24.71,0
38.39,49.3,37.6,1
40.5,34.3,38.09,1
38.73,57.3,37.05,1
38.73,26.5,22.37,0
40.44,18.3,22.67,0
38.68,23.7,25.86,0
38.99,22.3,26.1,0
39.17,17.4,29.53,0
38.18,12.3,26.67,0
38.57,51.2,30.83,1
39.12,14.9,23.04,0
40.11,36.4,38.16,1
39.12,50.8,31.62,1
38.8,11.5,24.89,0
40.52,40.8,39.4,1
38.39,53.8,36.95,1
38.54,57.5,35.07,1
38.32,53.5,33.75,1
38.81,24.6,21.61,0
40.57,45.8,38.16,1
40.07,35.6,34.76,1
39.12,44.7,34.13,1
40.56,37.2,37.41,1
39.07,38.2,35.03,1
40.71,40.1,38.3,1
40.35,11.1,26.19,0
38.66,17.1,21.25,0
39.77,51.4,26.2,1
38.99,22.1,35.55,0
38.87,33.7,33.79,1
39.75,37.4,26.38,1
40.09,33.3,35.67,1
40.19,40.0,21.84,1
39.87,29.8,20.11,1
40.44,42.4,39.75,1
38.76,29.4,36.61,1
39.9,44.8,25.44,1
40.16,30.2,33.82,1
39.77,34.4,31.81,1
38.51,18.5,22.49,0
39.36,25.3,28.15,0
38.71,17.5,26.81,0
40.58,38.9,36.82,1
38.74,12.6,24.9,0
39.76,31.0,34.15,1
39.18,24.6,29.04,0
38.9,10.5,33.46,0
40.07,32.7,33.61,1
39.09,39.3,33.32,1
38.81,11.7,37.24,0
38.36,27.9,20.52,0
39.15,45.2,35.49,1
39.93,33.4,32.32,1
38.38,19.1,23.14,0
38.76,18.3,30.6,0
40.15,41.9,25.68,1
38.43,25.7,21.76,0
38.58,36.6,30.7,1
39.11,18.0,27.37,0
38.82,21.2,29.99,0
39.73,34.3,32.3,1
38.79,18.6,24.34,0
39.18,23.9,24.9,0
39.88,36.4,32.64,1
38.39,14.0,29.03,0
38.64,20.7,27.35,0
40.35,44.9,38.04,1
38.93,16.0,29.28,0
40.2,35.9,35.61,1
38.61,17.9,22.02,0
38.61,17.7,22.07,0
40.84,51.8,29.78,1
38.62,48.6,34.38,1
38.86,27.0,34.52,0
39.9,34.6,33.16,1
40.8,42.5,36.94,1
40.69,40.7,23.41,1
40.69,44.3,40.0,1
38.42,24.7,36.68,0
38.73,58.0,36.84,1
38.91,48.5,32.73,1
39.89,44.9,27.81,1
38.92,41.8,35.29,1
40.04,37.2,34.31,1
38.33,28.9,27.75,0
40.14,37.0,36.21,1
39.61,33.8,33.53,1
39.02,16.4,21.44,0
38.63,55.4,35.94,1
40.45,35.3,38.06,1
39.92,37.2,23.86,1
38.48,18.2,28.5,0
40.3,38.1,37.26,1
39.97,34.4,27.5,1
39.38,32.9,32.55,1
38.87,21.9,27.74,0
40.7,49.5,27.77,1
40.05,20.2,20.15,0
38.61,58.7,26.39,0
39.2,15.2,29.52,0
40.71,33.2,21.49,1
38.48,27.1,26.0,0
38.81,25.7,24.13,0
40.62,40.1,38.47,1
41.01,36.1,37.85,1
38.74,13.6,32.89,0
39.88,44.1,23.45,1
40.28,17.9,26.21,0
39.98,34.6,35.76,1
39.78,43.3,21.31,1
38.63,25.3,24.01,0
39.32,30.5,30.64,1
40.38,40.5,38.26,1
40.07,29.7,32.43,1
39.12,20.2,32.25,0
38.44,22.2,20.45,0
38.66,26.2,28.75,0
39.03,24.4,23.18,0
40.06,38.2,29.77,1
38.4,33.6,32.12,1
38.6,32.2,31.08,1
38.9,30.6,35.83,1
39.92,50.2,22.99,1
38.97,20.0,28.97,0
38.92,26.9,37.49,0
38.12,27.1,21.43,0
38.6,33.9,34.04,1
38.83,15.8,21.24,0
38.7,55.8,30.76,1
40.59,33.2,35.19,1
40.7,51.1,26.54,1
38.47,58.0,37.74,1
39.24,26.3,24.81,0
39.16,33.1,33.21,1
38.49,28.7,29.02,0
40.71,38.9,23.75,1
38.77,19.7,20.66,0
40.51,16.6,24.51,0
39.01,48.7,36.63,1
38.51,45.6,33.37,1
39.85,34.9,32.81,1
38.96,14.5,26.16,0
41.07,42.6,39.17,1
38.92,12.7,29.36,0
38.55,50.1,36.86,1
39.8,37.0,32.94,1
40.48,11.7,27.05,0
39.03,20.6,28.38,0
39.09,18.1,22.45,0
38.94,12.2,22.71,0
40.11,32.0,27.87,1
39.59,28.5,30.96,1
40.37,37.7,37.81,1
38.92,26.0,22.41,0
39.13,53.3,32.88,1
38.4,14.5,26.22,0
40.11,40.2,35.55,1
39.02,21.4,27.18,0
40.41,36.1,35.44,1
40.03,36.1,35.29,1
40.39,38.7,36.82,1
39.14,30.8,35.04,1
40.33,42.5,37.28,1
38.93,26.9,21.47,0
38.69,14.9,20.3,0
40.5,51.3,23.22,1
39.24,23.3,26.03,0
38.98,20.1,34.66,0
38.89,12.3,20.61,0
39.35,21.4,28.0,0
38.4,31.5,36.53,1
38.28,22.3,26.54,0
40.2,38.0,21.75,1
40.14,34.9,24.67,1
40.55,39.0,35.9,1
39.05,10.8,23.88,0
39.14,21.2,24.05,0
38.16,26.6,20.96,0
39.38,28.2,30.83,0
38.4,27.5,23.39,0
38.9,54.6,31.15,1
39.19,47.8,37.33,1
39.96,45.0,25.51,1
40.5,38.4,38.05,1
38.53,45.7,30.85,1
38.39,27.0,32.66,0
39.1,28.1,29.9,0
39.17,28.7,30.62,0
38.34,50.4,30.94,1
38.76,35.9,33.2,1
38.51,18.5,25.94,0
40.41,38.5,37.19,1
40.45,35.5,37.17,1
40.12,39.2,34.1,1
40.17,29.6,34.51,1
38.38,17.0,28.52,0
39.0,26.2,29.7,0
38.71,58.1,32.69,1
39.91,32.7,31.13,1
39.22,16.0,23.98,0
38.98,57.9,34.21,1
38.5,18.0,24.18,0
39.35,26.2,30.55,0
40.22,34.4,35.09,1
40.47,54.8,29.63,1
38.43,51.7,36.05,1
39.23,18.6,20.67,0
38.84,55.5,29.18,0
38.52,15.6,27.18,0
38.77,19.5,26.83,0
39.15,35.3,36.96,1
40.19,34.0,29.68,1
39.38,30.1,29.74,0
38.26,56.0,32.01,1
38.46,30.8,37.65,1
40.64,39.6,38.75,1
39.19,10.3,24.58,0
39.09,22.6,25.06,0
38.91,17.9,32.11,0
40.23,38.1,36.16,1
40.6,44.6,39.53,1
38.78,17.0,27.65,0
40.65,38.7,37.7,1
38.87,49.6,35.44,1
39.06,36.9,34.24,1
39.88,33.7,33.7,1
38.97,28.3,27.03,0
40.92,47.5,37.99,1
39.26,19.5,37.8,0
39.23,17.4,29.8,0
40.17,24.8,20.67,0
38.68,20.1,28.37,0
38.92,52.9,37.2,1
38.77,10.0,27.86,0
40.07,35.9,36.05,1
38.47,52.8,35.56,1
40.41,39.3,36.28,1
39.69,28.5,31.01,1
40.61,38.9,37.85,1
38.98,57.8,31.91,1
38.72,42.8,31.29,1
39.81,38.2,26.25,1
39.05,11.2,29.92,0
39.31,47.0,29.05,0
38.91,56.5,31.49,1
